commissioner;category;persons;date;year;month;day;met_with;subject;link
Sinkevicius;commissioner;;12.04.2023;2023.0;4.0;12.0;IBERDROLA;To discuss the Commission initiatives as regards fast-tracked permitting of renewable energy investments and in relation to protection of the environment;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=41816938101-07
Sinkevicius;commissioner;;12.04.2023;2023.0;4.0;12.0;Green 10;To discuss the state and progress of the European Green Deal;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=70309834043-10
Sinkevicius;commissioner;;11.04.2023;2023.0;4.0;11.0;European Union for Responsible Incineration and Treatment of Special Waste;To discuss the role of hazardous waste management in the context of the Circular Economy;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=46904231219-48
Sinkevicius_cabinet;cabinet;Elena Montani;12.04.2023;2023.0;4.0;12.0;Green 10;To discuss the state and progress of the European Green Deal;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=70309834043-10
Sinkevicius_cabinet;cabinet;Arunas Ribokas;12.04.2023;2023.0;4.0;12.0;IBERDROLA;To discuss the Commission initiatives as regards fast-tracked permitting of renewable energy investments and in relation to protection of the environment;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=41816938101-07
Sinkevicius_cabinet;cabinet;Elena Montani;11.04.2023;2023.0;4.0;11.0;European Union for Responsible Incineration and Treatment of Special Waste;To discuss the role of hazardous waste management in the context of the Circular Economy;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=46904231219-48
Simson;commissioner;;03.04.2023;2023.0;4.0;3.0;Trafigura Pte Ltd;Oil and gas trade, hydrogen investments.;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=049566047779-57
Simson_cabinet;cabinet;Stefano Grassi, Ruud Kempener;03.04.2023;2023.0;4.0;3.0;Trafigura Pte Ltd;Oil and gas trade, hydrogen investments.;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=049566047779-57
Urpilainen_cabinet;cabinet;Sandra Bartelt;04.04.2023;2023.0;4.0;4.0;World Economic Forum;Courtesy meeting and the World Economic Forum;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=567538843366-43
Urpilainen_cabinet;cabinet;Sandra Bartelt;04.04.2023;2023.0;4.0;4.0;Deutsche Gesellschaft für Auswärtige Politik e.V.;Global Gateway, China;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=274682235651-46
